date,open,high,low,close,volume
2021-07-26,14200,14205,14200,14200,776
2021-07-27,14270,14285,14005,14285,3233
2021-07-28,14280,14285,14020,14275,1965
2021-07-29,14275,14285,14040,14275,5096
2021-07-30,14275,14280,14050,14280,751
2021-08-02,14270,14290,14050,14250,3819
2021-08-03,14250,14290,14040,14040,2241
2021-08-04,14040,14200,14040,14060,1265
2021-08-05,14240,14280,14040,14280,1623
2021-08-06,14280,14285,14040,14285,6642
2021-08-09,14275,14275,14035,14250,1741
2021-08-10,14040,14250,13600,14000,3839
2021-08-11,14000,14000,13900,14000,1315
2021-08-12,14000,14000,13995,14000,6212
2021-08-13,14000,14000,13995,14000,602
2021-08-16,14000,14000,13895,13995,903
2021-08-17,13995,14000,13900,14000,10739
2021-08-18,14000,14005,14000,14005,2659
2021-08-19,14010,14240,13995,14240,6497
2021-08-20,14005,14100,14000,14000,2495
2021-08-23,14000,14100,13905,14000,2062
2021-08-24,14000,14000,13900,13900,4403
2021-08-25,13900,13900,13600,13800,12632
2021-08-26,13800,13900,13700,13700,1730
2021-08-27,13700,13800,13515,13795,14805
2021-08-30,13795,13795,13500,13700,6457
2021-08-31,13690,13700,13505,13700,1629
2021-09-01,13620,13700,13620,13680,853
2021-09-02,13685,13800,13620,13700,11522
2021-09-03,13700,13700,13620,13700,833
2021-09-06,13700,13700,13600,13700,1951
2021-09-07,13700,13700,13555,13650,5106
2021-09-08,13700,13790,13660,13695,53166
2021-09-09,13695,13695,13655,13690,2292
2021-09-10,13690,13690,13670,13690,1841
2021-09-13,13670,13685,13650,13650,1559
2021-09-14,13650,13800,13400,13500,63850
2021-09-15,13600,13600,13500,13500,36330
2021-09-16,13500,13600,13500,13500,5528
2021-09-17,13600,13600,13510,13600,1416
2021-09-20,13585,13600,13405,13600,79701
2021-09-21,13505,13600,13500,13600,7886
2021-09-22,13600,13690,13600,13600,2178
2021-09-23,13650,14000,13600,14000,3259
2021-09-24,13900,13900,13500,13500,61888
2021-09-27,13600,13600,13500,13500,29957
2021-09-28,13900,13900,13500,13500,6197
2021-09-29,13500,13500,13500,13500,8041
2021-09-30,13500,13500,13490,13500,8709
2021-10-01,13500,13700,13450,13700,130452
2021-10-04,13695,13700,13500,13500,4156
2021-10-05,13505,13700,13505,13700,3772
2021-10-06,13700,13995,13700,13725,2772
2021-10-07,13800,13985,13700,13700,3745
2021-10-08,13800,13800,13730,13795,1641
2021-10-11,13795,13795,13700,13795,5196
